	1ATP_AGC	3NX8_AGC	1GZK_AGC	1H1W_AGC	1OMW_AGC	1VZO_AGC	1XJD_AGC	1ZRZ_AGC	2ACX_AGC	2ETR_AGC	2F2U_AGC	2I0E_AGC	2VD5_AGC	4AW2_AGC	2Z7Q_AGC	3G51_AGC	4FG8_CAMK	1A06_CAMK	1IA8_CAMK	2QHN_CAMK	1IG1_CAMK	1KWP_CAMK	1TKI_CAMK	1XWS_CAMK	1ZMU_CAMK	1ZWS_CAMK	2AC3_CAMK	2CN5_CAMK	2H6D_CAMK	2HW6_CAMK	2IWI_CAMK	2J90_CAMK	2JAM_CAMK	2JC6_CAMK	2Y7J_CAMK	2PHK_CAMK	2QNJ_CAMK	2V7O_CAMK	2VN9_CAMK	3BHH_CAMK	3C0G_CAMK	1CKI_CK1	2C47_CK1	2CHL_CK1	2CMW_CK1	3OP5_CK1	2JII_CK1	5UU1_CK1	2V62_CK1	1BI7_CMGC	1CM8_CMGC	2ZOQ_CMGC	4ZZN_CMGC	1ERK_CMGC	1H4L_CMGC	1HCK_CMGC	1I09_CMGC	1JNK_CMGC	1UA2_CMGC	3RGF_CMGC	1UKH_CMGC	1WBP_CMGC	1WFC_CMGC	1Z57_CMGC	2EU9_CMGC	2I6L_CMGC	3COI_CMGC	1JWH_Other	1MUO_Other	3FPQ_Other	1X8B_Other	2BUJ_Other	2JAV_Other	2OWB_Other	3CEK_Other	3COK_Other	1S9I_STE	1S9J_STE	1U5Q_STE	2BVA_STE	2C30_STE	5VIL_STE	2CLQ_STE	2DYL_STE	2F57_STE	2J51_STE	2J7T_STE	3CKW_STE	3COM_STE	1FGK_TK	1AD5_TK	1BYG_TK	1FMK_TK	1FPU_TK	1FVR_TK	1GJO_TK	1IRK_TK	1K2P_TK	5H3Q_TK	4ASZ_TK	1LUF_TK	1M14_TK	1MP8_TK	1MQB_TK	1PKG_TK	1R0P_TK	1RJB_TK	1SM2_TK	1U46_TK	1VR2_TK	1YVJ_TK	2B7A_TK	2DQ7_TK	2GSF_TK	2HEL_TK	2I1M_TK	2IVS_TK	2P0C_TK	2R2P_TK	2REI_TK	3BBT_TK	3BKB_TK	3CC6_TK	3LCK_TK	5HI2_TKL	3OMV_TKL	1UWH_TKL	5V5N_TKL	2EVA_TKL	4ZTN_TKL	2NRU_TKL	2QLU_TKL	4UY9_TKL	4UYA_TKL	
1ATP_AGC	100.0	73.153	40.8055	45.4544	14.5827	51.5525	42.5728	48.6638	26.1256	38.5129	41.633	50.2091	35.834	40.7493	35.8207	44.5569	36.849	40.8678	38.6855	37.111	45.262	43.011	46.702	35.94	43.9753	42.8182	34.0071	39.4459	34.1525	30.6778	27.2062	36.2038	41.3789	41.4602	38.3749	41.0235	48.8382	45.3882	46.2749	41.9185	45.3672	42.8987	44.5005	46.1774	46.0729	48.1839	46.3463	49.2102	48.447	37.1863	47.5177	47.0615	46.208	45.3305	40.0077	45.9707	43.9033	46.031	42.8947	42.0108	42.9738	47.666	45.0147	46.8639	46.8535	41.0845	47.5838	47.2496	33.6908	37.1594	33.7072	37.6208	32.1499	43.4691	31.6449	26.701	45.2801	41.1349	48.3043	36.0808	39.5675	40.2052	38.0656	39.0848	40.6858	41.8949	40.6703	35.7241	36.6471	39.0764	35.2491	30.8742	33.1946	37.9909	44.0455	40.0092	44.0438	33.7243	40.8657	41.8637	33.6212	41.8294	31.2316	35.275	43.2779	42.2249	45.0535	28.8431	31.9565	38.2348	33.9888	42.6459	36.9738	39.7818	31.3764	48.3059	42.3257	30.5542	40.3324	37.8015	36.1858	35.5472	35.9355	38.3906	31.4352	36.93	36.5683	39.5834	39.7063	43.3352	45.3213	43.1655	46.5766	36.774	
3NX8_AGC	73.153	100.0	41.1193	45.9274	14.4742	51.626	43.0491	48.6645	26.0061	38.2844	41.5228	50.6228	35.8214	40.6797	36.2984	45.0123	37.0848	41.058	39.2723	37.6053	45.6115	43.0835	47.0268	36.4956	44.2389	43.2887	34.4181	39.8377	34.6416	30.9352	27.7413	36.7093	41.8606	41.7964	38.9895	41.4217	48.905	45.6307	46.5872	42.3199	46.2276	43.1713	44.8134	46.4207	46.4723	48.3843	46.5637	49.4646	48.6092	37.2743	47.2751	46.9686	46.3751	45.4619	40.3928	46.4126	43.8238	46.1661	43.2585	42.4094	43.1205	48.036	44.8564	47.3289	47.5879	41.442	47.3089	47.5678	34.2277	37.1804	34.2807	38.0998	32.6093	44.1516	31.6956	27.0928	45.964	41.7668	48.8197	36.6274	39.8237	40.6173	38.4553	39.1383	41.1168	42.1246	41.2738	36.2149	36.8599	39.4645	34.9582	31.2309	32.9657	38.341	44.2797	40.1788	44.4786	34.0204	41.3085	42.2119	34.1943	42.0892	31.5851	35.5359	43.5676	42.7286	45.3135	29.3076	32.326	38.7423	34.4755	42.9986	37.3079	40.0472	31.6561	48.3113	42.7828	30.8381	40.976	38.2469	36.6439	35.7356	36.3218	38.6734	31.678	37.1872	36.6768	40.6061	40.7447	43.5799	45.5144	43.9428	47.0371	37.3512	
1GZK_AGC	40.8055	41.1193	100.0	45.9763	8.2119	43.6547	45.1502	45.2643	15.2404	26.5397	28.2985	39.9461	27.8665	27.6229	47.1283	47.8707	38.8833	38.8669	42.5973	41.5083	45.004	37.1794	38.079	41.1205	43.7541	42.1364	34.0182	39.4727	43.0542	38.3858	36.5916	38.9338	40.2879	38.3582	43.5415	46.5417	41.1341	41.1776	43.4176	41.8071	43.6221	42.7364	47.3828	46.1696	46.9058	39.0158	40.988	39.5796	40.0898	44.0396	41.8317	35.0737	35.1434	32.27	43.1884	45.4942	35.3502	34.4632	43.2432	36.4189	34.5464	33.4574	35.4159	39.172	35.8615	41.9301	35.9623	39.051	43.9555	40.9803	40.7665	37.7474	41.8134	43.7284	30.5867	35.097	41.8878	39.9224	43.5728	41.0343	43.1699	42.1251	41.6561	44.1417	42.0812	39.5013	41.0148	39.6034	39.357	44.7153	20.5334	41.8356	20.9726	43.4873	43.2866	46.1051	44.7858	42.9027	41.6872	44.5342	38.3218	38.143	38.949	40.8732	43.4308	40.7586	43.1202	37.9523	43.8413	43.9225	37.4921	44.1968	43.5023	41.3666	37.1518	40.5293	47.516	42.143	43.1378	42.2246	41.8224	27.6907	41.4124	43.7385	38.8663	41.7734	40.1522	39.5221	39.3545	43.1065	42.9312	43.8007	39.6139	39.8046	
1H1W_AGC	45.4544	45.9274	45.9763	100.0	9.3989	46.7948	44.4859	45.1285	17.4593	27.8973	30.5811	44.2743	28.8073	30.1658	44.2492	48.89	42.7304	43.3968	43.9958	42.363	50.0664	41.8114	41.9793	39.3687	44.5058	48.6615	37.0688	45.4142	40.4278	39.478	35.2205	43.1252	47.6038	45.1202	44.3325	46.7458	45.5449	46.3497	47.6935	44.816	44.977	43.6573	48.765	46.9962	48.3688	42.9128	42.512	44.9252	45.2952	42.6434	42.5659	40.5405	41.1078	38.0501	45.9524	48.9724	40.4834	38.3684	44.7142	40.6053	39.4364	39.9786	38.8733	42.8642	40.2611	43.6852	40.7324	38.8601	44.9703	46.3988	41.0846	37.5925	40.515	50.0726	34.2936	33.4199	45.5205	43.2339	45.9034	39.7532	40.8357	47.0402	45.5538	43.971	41.5875	44.2004	44.6202	46.274	42.2986	43.4486	24.2851	37.2788	23.8959	43.7894	45.2423	43.9809	42.5609	40.5847	40.3163	42.9211	37.7861	42.1172	39.2052	40.6618	46.1009	42.2243	44.5474	36.2835	38.1129	46.2291	38.0074	44.5956	43.5949	41.691	36.0711	44.5447	45.8106	37.3301	43.393	40.0233	41.7314	30.929	42.0775	44.4798	38.2849	41.4868	41.2635	42.3181	42.2268	45.3219	45.2023	43.7718	43.8361	42.1969	
1OMW_AGC	14.5827	14.4742	8.2119	9.3989	100.0	12.9799	9.0389	12.284	43.2494	24.419	22.5475	14.0346	22.8651	24.8634	6.9211	9.1146	7.4166	8.7907	8.1965	7.8749	8.9052	13.3101	12.5481	8.2858	10.4166	8.7887	8.8338	9.468	6.9659	5.8608	5.8606	7.5777	8.9372	8.7031	9.5348	8.8233	13.302	11.4137	10.858	9.6415	11.6381	10.1569	9.7353	10.7296	10.3768	13.0182	12.9077	12.4685	11.9024	7.9945	14.1393	17.1781	15.1999	17.8204	8.77	10.2983	15.0152	16.468	9.3729	13.5213	13.503	17.0256	15.719	14.9087	16.4615	10.2651	16.6838	14.8573	6.5763	7.3683	7.0996	10.04	6.7379	10.4852	6.7028	5.3206	11.2581	9.7996	11.7452	8.1915	9.8045	8.019	7.3744	8.3089	10.6589	9.6563	9.3661	6.7695	7.3023	8.755	31.9242	6.0814	30.6577	8.3751	10.7231	8.8491	11.0195	7.0393	10.8333	9.7782	8.1349	11.8324	6.5877	7.3603	9.7493	11.0095	10.5287	6.0385	6.7601	8.5752	9.7145	9.4002	7.298	8.9899	6.7624	11.6258	9.3818	6.3589	9.1714	8.5146	8.3789	21.1381	7.9513	7.914	6.2128	7.4805	7.5175	9.991	10.095	9.3833	10.0981	10.5358	12.0744	8.3034	
1VZO_AGC	51.5525	51.626	43.6547	46.7948	12.9799	100.0	41.7189	47.1299	23.5026	34.0977	37.0802	46.6157	36.6196	38.6679	39.5681	48.7121	38.6315	41.921	39.5561	38.1516	45.8116	43.0591	47.1538	38.5597	46.275	45.7796	35.6107	42.7549	38.0853	32.8346	30.7937	39.1847	42.0561	40.451	42.5472	42.9331	49.6688	48.2237	49.212	45.6613	46.9561	41.6926	46.0855	45.3661	46.5577	47.1448	44.158	46.3248	46.3484	40.4063	51.2371	47.8101	45.9237	44.4766	41.2404	49.2462	44.0204	44.2048	43.9602	43.432	41.9035	48.7241	47.0037	49.3794	45.968	45.285	47.0699	45.6528	36.9865	39.3995	36.4707	40.2742	35.1157	45.9142	30.5792	28.6434	46.3597	41.6874	48.0709	39.1812	43.3152	41.1392	39.5888	41.5433	43.6212	44.2133	45.5523	38.4569	38.166	41.8372	31.2832	33.3239	30.9087	38.891	45.1329	42.0752	43.9508	34.4277	43.797	44.5714	32.6668	43.566	32.8502	36.2613	42.2884	44.0937	41.0675	30.4322	35.7221	41.5499	35.9394	42.0163	37.9296	40.0759	31.968	46.2163	43.7599	33.2194	42.7047	39.6385	39.499	35.9433	36.8552	40.172	33.0108	37.431	37.9152	39.7419	39.9177	45.2611	46.9226	46.6994	46.8405	40.698	
1XJD_AGC	42.5728	43.0491	45.1502	44.4859	9.0389	41.7189	100.0	47.0585	16.1243	27.1512	30.6612	44.7685	27.0834	29.483	43.5778	46.9941	40.6578	41.3745	42.3351	41.4652	43.5791	37.9998	38.0621	39.156	40.3728	42.7054	36.0411	40.9723	41.7223	36.3182	33.7516	40.1779	41.5427	39.4466	40.9752	45.1278	41.7548	41.2877	42.6946	40.5896	41.1311	43.3875	41.9706	43.9204	43.3523	39.0959	38.1271	41.0645	41.3465	38.4648	39.1403	35.9988	37.3731	34.5992	41.4219	42.3636	32.4721	36.0948	43.5537	39.2664	37.7205	35.9754	35.709	40.5313	38.8235	40.899	36.7504	37.9899	39.6319	37.7299	39.167	39.0038	38.5849	41.6208	34.5698	35.2139	42.0226	42.2759	43.7827	37.7871	37.9108	42.6593	42.2571	44.291	38.7183	40.6509	40.5605	39.4535	39.5891	40.6439	22.0001	37.3812	20.8704	40.0501	40.5689	42.6267	41.212	40.4221	38.3635	43.0046	35.4583	37.43	37.2643	39.1633	42.9669	40.6484	42.9816	35.9281	38.4234	42.5121	34.6718	44.6263	41.5067	39.671	36.9068	41.0452	42.9286	39.0845	41.0415	39.5004	40.3452	26.8932	40.9233	40.2632	38.3459	40.745	40.2006	38.3078	38.3136	43.5888	43.9292	42.9848	42.2911	38.6162	
1ZRZ_AGC	48.6638	48.6645	45.2643	45.1285	12.284	47.1299	47.0585	100.0	22.1993	36.3908	41.0671	51.8972	38.2601	39.7205	40.6204	45.557	40.1575	42.935	42.8016	41.8559	44.3347	44.3068	41.9096	43.3376	46.6364	43.4324	40.3861	42.2981	40.6589	35.3208	32.9501	39.4642	41.5172	40.5565	45.1525	45.8613	49.2626	45.7162	46.3607	42.8248	46.3224	45.5264	43.7089	46.1813	44.7927	46.0497	45.5174	47.1185	47.167	43.683	48.724	46.3011	45.2082	42.986	43.3388	46.7573	44.7612	47.2393	44.6902	44.7409	46.2393	42.8255	46.4175	47.9801	45.1022	46.6944	46.7274	48.1454	37.8827	37.2839	39.2432	43.2861	37.6234	46.1566	34.5505	32.3878	49.3043	46.4109	50.3604	43.4498	47.2981	42.2213	40.6735	43.1728	48.432	42.9629	41.761	35.9348	38.9458	44.5855	30.2459	36.2877	29.3217	40.7506	46.0219	44.1375	48.1753	39.2452	45.1868	46.2462	37.9081	44.4933	37.0442	39.4685	44.0466	46.0004	46.2904	34.8459	38.2239	42.8275	41.5623	46.748	40.0534	45.2674	37.1599	46.378	46.3554	37.3615	44.2505	43.3784	43.0347	37.37	41.6509	40.4206	36.7471	41.2391	40.9885	43.4189	43.4576	44.5106	45.8771	46.0937	47.6371	40.5369	
2ACX_AGC	26.1256	26.0061	15.2404	17.4593	43.2494	23.5026	16.1243	22.1993	100.0	38.6794	36.9207	25.4382	39.8787	41.2262	12.7646	16.5951	13.421	15.909	15.4049	14.7705	16.3369	22.8148	21.8372	15.0303	19.4908	15.9019	16.4693	17.5631	12.8172	11.0409	10.9559	13.9115	16.2438	16.1153	17.4699	16.2071	24.2635	21.3975	20.2795	18.2169	21.8209	18.1504	17.7971	19.3379	18.9973	23.6181	23.2815	22.9525	21.9618	14.8649	26.0961	30.2775	26.7048	31.1179	16.5197	19.1629	27.7203	29.4083	17.1623	23.707	24.44	30.4857	28.0629	25.9077	29.5248	18.6732	30.195	25.8979	12.3584	13.6937	13.0533	18.4178	12.4681	19.4941	11.7224	9.7588	20.5707	17.4382	21.5048	15.3147	18.0234	14.7355	13.5912	15.3049	19.2407	17.843	17.4611	12.5048	13.3329	16.2331	50.5079	11.4953	53.1731	15.597	20.1131	16.3359	20.0357	12.7933	20.2439	17.9423	15.3663	20.9255	12.2413	13.5076	17.8804	19.986	19.0661	11.2364	12.5965	16.0415	17.8225	17.181	13.664	16.2019	12.1416	21.5915	17.2778	11.637	16.7711	15.8626	15.4299	36.2926	14.671	14.7637	11.3348	13.545	13.5621	18.7123	18.9179	17.0933	18.3517	19.499	22.1271	15.7217	
2ETR_AGC	38.5129	38.2844	26.5397	27.8973	24.419	34.0977	27.1512	36.3908	38.6794	100.0	64.7341	38.8747	49.4075	56.42	22.1323	27.1144	23.0476	26.7562	25.886	25.3031	26.513	35.5474	31.8508	23.9911	32.6253	25.6192	25.2083	28.7244	21.9588	18.6435	17.4067	23.511	26.5215	26.9454	27.6856	27.6775	37.596	31.0552	30.3481	27.0195	33.5456	30.4971	28.7167	30.8327	30.0388	36.5057	33.5543	33.3839	32.3773	25.2648	41.0103	41.4617	38.5897	42.5529	26.8635	30.2307	39.0274	43.1602	27.1042	37.7512	37.5872	41.7281	42.937	38.1225	39.7903	30.2221	43.0373	41.3682	20.567	22.4073	21.705	26.5178	21.1868	29.959	18.9941	17.3753	31.5211	28.4969	33.359	26.0716	28.8271	24.21	22.5769	25.824	31.235	29.8516	28.0907	20.2705	21.9246	27.9941	49.4343	20.6559	46.3886	26.8397	32.6946	28.7014	34.5295	22.461	29.252	28.4175	25.4314	33.4233	20.6296	23.8724	30.2495	32.6611	32.3777	19.3702	21.5983	26.7664	26.3318	27.1801	23.1699	28.668	21.5686	33.3573	29.1659	21.0861	28.547	26.9681	25.5949	41.8532	25.4598	24.863	19.5446	23.0692	22.5513	29.0936	29.3608	28.181	30.0988	29.7027	34.3462	24.1349	
